,ksat,kmin,kdry,mysat,rsat,kmin_fls
0,7616670049.655618,25248040844.581463,6481408714.445353,6392144803.527924,1772.6157503520535,26252246288.950512
1,7678291978.156142,25248040844.581463,6444694787.369053,6352564474.328273,1772.6157503520535,26252246288.950512
2,7740901826.966931,25248040844.581463,6404617929.284252,6309501354.05851,1772.6157503520535,26252246288.950512
3,7803862054.91929,25248040844.581463,6360373766.752253,6262134291.177735,1772.6157503520535,26252246288.950512
4,7866270270.753312,25248040844.581463,6310805618.105976,6209285372.3611,1772.6157503520535,26252246288.950512
5,7907727645.50849,25248040844.581463,6273197025.02082,6169341998.748754,1772.6157503520535,26252246288.950512
6,7926767713.447392,25248040844.581463,6254152183.201245,6149165850.381451,1772.6157503520535,26252246288.950512
7,7983128578.235784,25248040844.581463,6187509480.469542,6078835586.72055,1772.6157503520535,26252246288.950512
8,8031227332.064789,25248040844.581463,6105485152.384148,5992854779.294096,1772.6157503520535,26252246288.950512
