Depth;LFP_RHOB_B;LFP_RHOB_G;LFP_RHOB_O;LFP_RHOB_V;LFP_VP_B;LFP_VP_G;LFP_VP_O;LFP_VP_V;LFP_VS_B;LFP_VS_G;LFP_VS_O;LFP_VS_V;Vp_50oil50water;Vs_50oil50water;Rho_50oil50water;Vp_20oil80water;Vs_20oil80water;Rho_20oil80water;Vp_80oil20water;Vs_80oil20water;Rho_80oil20water;Vp_50oil50gas;Vs_50oil50gas;Rho_50oil50gas
1770.9368;2.1171;1.8554;2.0782;2.0797;3133.1049;2981.7586;3047.4396;3049.3737;1672.336;1786.3302;1687.9201;1687.3044;3077.1868;1680.7545;2.096;3110.175;1675.717;2.1087;3054.4468;1685.8378;2.0834;2912.6166;1740.7659;1.954
1771.0892;2.1121;1.8488;2.073;2.0745;3130.8219;2983.4484;3046.1792;3048.1129;1669.4547;1784.5145;1685.1661;1684.5355;3075.4111;1678.0554;2.0907;3108.06;1672.9793;2.1034;3052.957;1683.1781;2.078;2913.8689;1738.5007;1.9478
1771.2416;2.1114;1.847;2.0721;2.0737;3128.5509;2981.8543;3043.875;3045.9054;1666.1418;1781.417;1681.8795;1681.2132;3073.1283;1674.7153;2.0899;3105.7452;1669.6333;2.1027;3050.7069;1679.8441;2.0772;2912.1542;1735.2731;1.9466
1771.394;2.112;1.8462;2.0724;2.0742;3125.6018;2977.1275;3039.4571;3041.6248;1665.4768;1781.3542;1681.2887;1680.5944;3069.7133;1673.88;2.0907;3102.8588;1668.7638;2.1036;3046.911;1679.0435;2.0779;2904.9751;1735.0423;1.9459
1771.5464;2.1164;1.8478;2.0765;2.0783;3122.9544;2968.9133;3033.8748;3036.2245;1667.8045;1784.9176;1683.7782;1683.0361;3065.8825;1676.0318;2.0954;3100.0361;1670.8834;2.1083;3042.3228;1681.228;2.0825;2893.6045;1737.8058;1.949
1771.6988;2.1198;1.8534;2.0802;2.082;3121.0053;2960.045;3030.3598;3032.8524;1672.6497;1788.5612;1688.4788;1687.7175;3063.1731;1680.7837;2.0992;3097.9612;1675.6632;2.1121;3039.1046;1685.9513;2.0864;2885.607;1742.2555;1.9537
1771.8512;2.1155;1.8531;2.0765;2.0784;3117.4694;2956.7066;3028.9739;3031.4821;1673.9703;1788.8591;1689.6689;1688.8998;3059.7614;1682.5234;2.0943;3093.7722;1677.4535;2.107;3036.222;1687.6397;2.0816;2887.7572;1742.9362;1.9516
1772.0036;2.1073;1.8443;2.0682;2.0701;3114.365;2958.664;3028.1949;3030.6484;1670.5093;1785.6069;1686.2291;1685.4532;3058.0146;1679.229;2.0858;3091.4817;1674.1472;2.0985;3034.903;1684.3573;2.0731;2889.2781;1739.6321;1.9435
1772.156;2.1024;1.834;2.0627;2.0646;3113.7045;2966.9681;3028.426;3030.8008;1662.0466;1779.5147;1678.0567;1677.2746;3057.2487;1670.9745;2.0806;3090.0328;1665.804;2.0935;3034.7303;1676.1934;2.0677;2896.8662;1732.6001;1.9352
1772.3084;2.1043;1.833;2.0638;2.0658;3123.2776;2983.0226;3038.2043;3040.6049;1657.3628;1775.6601;1673.4736;1672.6693;3068.1117;1665.7077;2.0826;3100.8643;1660.5;2.0957;3045.6851;1670.9647;2.0695;2907.5751;1728.145;1.9349
1772.4608;2.1106;1.8392;2.0703;2.0723;3127.806;2987.5866;3042.0403;3044.5534;1655.8163;1773.8633;1671.8959;1671.063;3072.7537;1664.6899;2.0896;3105.7676;1659.4964;2.1027;3050.1364;1669.9325;2.0765;2909.851;1727.1274;1.9412
1772.6132;2.1135;1.8429;2.0733;2.0754;3128.1112;2988.2915;3042.3973;3044.9516;1646.7884;1763.5753;1662.7035;1661.8605;3073.2222;1654.9655;2.0926;3106.1718;1649.8284;2.1057;3050.6463;1660.1509;2.0796;2910.5819;1716.7349;1.9448
1772.7656;2.1143;1.8447;2.0742;2.0764;3127.8439;2985.51;3041.8712;3044.4664;1649.5007;1766.0053;1665.3789;1664.5263;3072.7244;1657.581;2.0935;3105.7789;1652.4538;2.1065;3050.0554;1662.7563;2.0804;2909.0039;1719.1996;1.9461
1772.918;2.1152;1.8512;2.0759;2.0781;3128.1305;2981.3702;3042.9545;3045.6792;1656.4218;1770.4785;1672.0106;1671.1434;3072.633;1664.7708;2.0941;3105.4406;1659.7302;2.1068;3050.0729;1669.8575;2.0813;2910.0514;1724.9518;1.9505
1773.0704;2.116;1.859;2.0778;2.08;3128.8268;2978.2491;3045.0717;3047.8641;1660.2882;1771.4342;1675.5055;1674.6231;3073.2405;1668.8046;2.0945;3105.4874;1663.8839;2.1069;3051.0103;1673.7691;2.0821;2914.0593;1727.0637;1.9555
1773.2228;2.1166;1.8633;2.0789;2.0811;3126.7334;2971.6329;3043.839;3046.7716;1662.8482;1772.0444;1677.8193;1676.9208;3071.1773;1671.4157;2.0948;3103.2414;1666.5659;2.1071;3049.0222;1676.308;2.0826;2912.2563;1728.5605;1.9587
1773.3752;2.1154;1.8624;2.0777;2.08;3124.2376;2968.2569;3040.6596;3043.6882;1664.7369;1774.2681;1679.7771;1678.8507;3068.1266;1673.3841;2.0936;3100.348;1668.527;2.1058;3045.8168;1678.2834;2.0814;2908.2418;1730.5186;1.9576
1773.5276;2.1151;1.8564;2.0767;2.0791;3124.1218;2969.5313;3039.1741;3042.2547;1665.5879;1777.9744;1680.9703;1680.0117;3068.0603;1674.1118;2.0937;3100.9255;1669.1385;2.1062;3045.3904;1679.1295;2.0812;2903.9145;1733.0944;1.9536
1773.68;2.1174;1.8542;2.0782;2.0806;3127.6491;2975.0223;3040.6746;3043.8273;1665.9018;1780.3256;1681.525;1680.5445;3071.0583;1674.2501;2.0963;3104.4584;1669.199;2.109;3048.0191;1679.3467;2.0836;2903.7821;1734.5512;1.9531
1773.8324;2.1202;1.8546;2.0807;2.0832;3130.7554;2979.0415;3043.1515;3046.3347;1666.3263;1781.3466;1682.078;1681.0793;3074.368;1674.5757;2.0993;3107.978;1669.4951;2.1121;3051.1993;1679.7027;2.0865;2905.7254;1735.3809;1.9547
1773.9848;2.1238;1.8641;2.0852;2.0877;3129.9024;2971.7379;3042.3273;3045.735;1667.2579;1779.6833;1682.6233;1681.5982;3073.1812;1675.4826;2.103;3106.8433;1670.5106;2.1155;3049.8984;1680.4992;2.0904;2902.7877;1734.8022;1.9617
1774.1372;2.1266;1.8748;2.0891;2.0917;3130.2401;2968.2942;3044.1103;3047.6404;1668.0013;1776.4852;1682.8971;1681.8546;3072.7327;1676.3437;2.1054;3105.9082;1671.5281;2.1176;3049.7045;1681.2011;2.0933;2905.1447;1733.2793;1.9694
1774.2896;2.1276;1.88;2.0907;2.0934;3140.6777;2982.7149;3057.6346;3061.2061;1668.9337;1775.503;1683.5511;1682.4955;3084.8224;1677.3147;2.1063;3116.8663;1672.581;2.1183;3062.6197;1682.0887;2.0944;2924.8727;1732.9991;1.9731
1774.442;2.128;1.8815;2.0914;2.0942;3144.0061;2987.4942;3061.6704;3065.3051;1670.8262;1776.7276;1685.3845;1684.2935;3088.5921;1679.1576;2.1068;3120.3536;1674.4362;2.1187;3066.5987;1683.9192;2.0949;2930.5993;1734.6773;1.9741
1774.5944;2.1299;1.881;2.0927;2.0955;3141.419;2980.8187;3056.4408;3060.3754;1673.4095;1780.9128;1688.2014;1687.0564;3085.3622;1681.7406;2.1087;3117.9998;1676.966;2.1207;3062.7189;1686.5551;2.0967;2921.2151;1737.9653;1.9747
1774.7468;2.1299;1.8716;2.0916;2.0946;3136.1009;2974.4302;3047.6912;3051.7205;1674.0225;1785.712;1689.3209;1688.1303;3078.5208;1682.1649;2.1096;3112.5533;1677.2198;2.122;3054.9247;1687.1539;2.0971;2904.328;1741.1955;1.9688
1774.8992;2.1267;1.8619;2.0873;2.0903;3147.1171;2998.0977;3059.4334;3063.3657;1674.4544;1789.8322;1690.2316;1689.0029;3091.0924;1682.4899;2.1064;3124.6943;1677.4058;2.1192;3067.9451;1687.62;2.0936;2922.301;1743.483;1.9617
1775.0516;2.1246;1.8586;2.085;2.0881;3149.2278;3001.9971;3061.7006;3065.7192;1678.9641;1795.3268;1694.8544;1693.5892;3093.3612;1687.0855;2.1042;3126.8917;1681.9631;2.117;3070.2898;1692.2549;2.0914;2925.3914;1748.6445;1.9586
1775.204;2.1248;1.8597;2.0853;2.0885;3147.8074;2997.8756;3059.7883;3063.9149;1684.1536;1799.9633;1699.9858;1698.6892;3091.871;1692.1622;2.1043;3125.6148;1687.0405;2.1171;3068.6206;1697.3308;2.0915;2922.1456;1753.6885;1.9592
1775.3564;2.125;1.8618;2.0859;2.0891;3125.481;2957.816;3033.5786;3038.1143;1684.6675;1799.8178;1700.4119;1699.0969;3067.2953;1693.2166;2.1047;3102.4528;1688.135;2.1174;3042.8847;1698.3443;2.092;2886.0877;1754.0975;1.9611
1775.5088;2.1162;1.8455;2.0759;2.0791;3081.6585;2897.0724;2983.1403;2987.8787;1673.0711;1791.5366;1689.2219;1687.9046;3019.307;1681.3412;2.0955;3056.7162;1676.1265;2.1085;2993.2048;1686.6049;2.0824;2823.1978;1744.116;1.9474
1775.6612;2.1007;1.8222;2.0592;2.0624;3054.173;2870.5916;2954.6673;2959.2588;1662.7915;1785.3159;1679.4397;1678.1292;2991.5705;1671.3754;2.0794;3029.4387;1666.0052;2.0928;2965.1879;1676.7978;2.066;2793.4268;1736.1516;1.9271
1775.8136;2.0867;1.8036;2.0446;2.0478;3051.7765;2878.8537;2954.7448;2959.0832;1656.2516;1781.602;1673.2366;1671.9288;2988.5666;1664.95;2.065;3025.759;1659.4704;2.0786;2962.7716;1670.4842;2.0513;2797.3865;1731.094;1.9102
1775.966;2.0824;1.8017;2.0406;2.0439;3082.8733;2936.9958;2995.5006;2999.4367;1652.631;1776.7435;1669.462;1668.1475;3025.9476;1661.6527;2.0598;3059.5041;1656.2163;2.0733;3002.9719;1667.143;2.0462;2862.4979;1726.8294;1.9071
1776.1184;2.0847;1.8126;2.0442;2.0475;3103.1104;2969.901;3021.9472;3025.7863;1643.1065;1761.8825;1659.2652;1657.9314;3048.5748;1652.3904;2.062;3079.9825;1647.158;2.0751;3027.1734;1657.673;2.0488;2899.5647;1714.6432;1.915
1776.2708;2.0882;1.8219;2.0486;2.052;3118.3721;2997.6787;3042.6397;3046.4038;1618.9958;1733.2567;1634.5781;1633.231;3067.0321;1628.196;2.0653;3096.1916;1623.1539;2.0782;3047.3213;1633.2854;2.0525;2934.6187;1687.8347;1.922
1776.4232;2.0949;1.8347;2.0561;2.0596;3125.1439;3008.0529;3052.2349;3056.0483;1603.3591;1713.2896;1618.3869;1617.0193;3074.9395;1612.2029;2.0723;3103.06;1607.3383;2.0849;3055.9626;1617.112;2.0598;2948.6954;1669.5355;1.9325
1776.5756;2.1028;1.8431;2.0642;2.0678;3137.7643;3021.8855;3064.0655;3068.0508;1602.4226;1711.6758;1617.3651;1615.9709;3087.179;1610.7575;2.0804;3115.217;1605.9288;2.0929;3068.2674;1615.6301;2.0679;2962.7626;1667.7333;1.9406
1776.728;2.1111;1.849;2.0721;2.0758;3141.6852;3022.2672;3065.5671;3069.7769;1610.3912;1720.64;1625.4639;1624.003;3091.2515;1618.6284;2.0895;3120.5958;1613.7535;2.1021;3071.3715;1623.5478;2.0768;2954.4667;1676.5818;1.9475
1776.8804;2.112;1.8485;2.0728;2.0766;3134.5781;3007.5789;3055.412;3059.9496;1615.9757;1727.5631;1631.2252;1629.7077;3082.1124;1624.1631;2.0907;3112.5404;1619.242;2.1034;3061.4074;1629.1294;2.078;2938.2584;1682.7809;1.9476
1777.0328;2.1082;1.8427;2.0687;2.0726;3114.8545;2978.3614;3032.6257;3037.4658;1616.3855;1728.8669;1631.745;1630.1956;3061.7039;1624.9083;2.0866;3093.2719;1619.9428;2.0995;3040.1192;1629.9199;2.0738;2909.4265;1684.1196;1.9425
1777.1852;2.1047;1.8395;2.0652;2.0693;3059.181;2889.4311;2968.63;2974.2495;1608.2994;1720.3705;1623.5992;1622.0124;3000.2341;1616.7094;2.0829;3035.0896;1611.7662;2.0957;2976.0208;1621.6984;2.0701;2822.1219;1675.5479;1.9392
1777.3376;2.1004;1.832;2.0605;2.0646;3025.7089;2840.8351;2930.2975;2936.353;1597.9516;1710.7921;1613.3524;1611.7372;2963.7375;1606.3979;2.0785;3000.4185;1601.4146;2.0914;2938.1098;1611.428;2.0655;2772.1687;1665.825;1.9328
1777.49;2.0949;1.822;2.0543;2.0585;3017.5663;2833.8846;2921.8492;2927.8479;1589.6492;1705.2939;1605.3577;1603.7113;2955.4361;1598.2314;2.0729;2992.2164;1593.177;2.0861;2929.7806;1603.3343;2.0597;2764.2095;1658.6369;1.9247
1777.6424;2.0857;1.8046;2.0439;2.0481;3023.5246;2857.4999;2929.5859;2935.3532;1587.1355;1705.7281;1603.228;1601.5556;2961.6192;1595.5752;2.0635;2997.6129;1590.3625;2.0771;2936.7081;1600.8395;2.0499;2779.0658;1658.2976;1.9103
1777.7948;2.0785;1.7937;2.0361;2.0404;3041.7662;2893.1738;2952.4282;2957.7706;1587.9411;1709.3457;1604.3858;1602.6929;2984.3507;1596.624;2.056;3018.6076;1591.3144;2.0698;2960.8618;1601.987;2.0423;2816.071;1660.525;1.9009
1777.9472;2.0756;1.7907;2.0334;2.0377;3035.481;2885.0052;2945.7702;2951.1373;1589.5049;1711.4865;1606.028;1604.3301;2976.8321;1598.2277;2.0532;3011.2916;1592.8976;2.0669;2953.1817;1603.6115;2.0394;2807.1508;1662.317;1.8977
1778.0996;2.0763;1.796;2.0344;2.0388;3046.3495;2899.8156;2959.5228;2964.8507;1593.4423;1713.1397;1609.6919;1607.9846;2989.0725;1602.2706;2.0531;3022.576;1597.0191;2.0666;2966.1068;1607.5742;2.0395;2825.5569;1665.1075;1.9012
1778.252;2.0834;1.8088;2.0425;2.0469;3058.645;2912.2671;2973.3155;2978.7476;1596.2585;1713.2582;1612.1638;1610.4448;3002.1918;1605.1128;2.0608;3035.1202;1599.9787;2.074;2979.606;1610.2966;2.0475;2841.8855;1666.297;1.9122
1778.4044;2.0913;1.8213;2.0511;2.0555;3067.1823;2917.8127;2981.78;2987.4312;1600.4294;1714.8639;1616.0114;1614.266;3010.4206;1608.7703;2.0688;3043.2373;1603.7184;2.0819;2987.8742;1613.8701;2.0558;2850.1142;1668.9608;1.9223
1778.5568;2.1017;1.8302;2.0613;2.0658;3078.6844;2925.2881;2990.5818;2996.4875;1613.2541;1728.7326;1628.9877;1627.2034;3021.6589;1621.7228;2.0801;3055.5959;1616.6501;2.0931;2998.2661;1626.8435;2.067;2851.7774;1682.4101;1.9327
1778.7092;2.1095;1.8348;2.0687;2.0732;3095.8796;2945.8595;3005.9105;3011.8496;1623.0601;1740.0243;1638.9941;1637.185;3037.2549;1631.197;2.0882;3071.4639;1626.053;2.1015;3013.7213;1636.3901;2.075;2867.6088;1693.1449;1.9382
